Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2023-01-03 00:00:00-05:00,128.78264911213327,129.39551842727084,122.74287269172645,123.63253021240234,112117500,0.0,0.0,AAPL
2023-01-04 00:00:00-05:00,125.4316068972832,127.18126787275598,123.64241229292817,124.90769958496094,89113600,0.0,0.0,AAPL
2023-01-05 00:00:00-05:00,125.66884902202133,126.30149268134268,123.32609306355886,123.58309936523438,80962700,0.0,0.0,AAPL
2023-01-06 00:00:00-05:00,124.5617315121944,128.79253144434853,123.45460129199294,128.13023376464844,87754700,0.0,0.0,AAPL
2023-01-09 00:00:00-05:00,128.97047367930062,131.87668586554148,128.3971379685157,128.65414428710938,70790800,0.0,0.0,AAPL
2023-01-10 00:00:00-05:00,128.7628938707127,129.75140069783342,126.64748986401109,129.2274932861328,63896200,0.0,0.0,AAPL
2023-01-11 00:00:00-05:00,129.74147432770857,131.9754935222946,128.96056085226581,131.9557342529297,69458900,0.0,0.0,AAPL
2023-01-12 00:00:00-05:00,132.34126249583184,132.71688473025435,129.92930408672314,131.8766632080078,71379600,0.0,0.0,AAPL
2023-01-13 00:00:00-05:00,130.51253218381837,133.36931580754018,130.14678954891528,133.21115112304688,57809700,0.0,0.0,AAPL
2023-01-17 00:00:00-05:00,133.2803661632613,135.7120843078782,132.58841445883436,134.3776092529297,63646600,0.0,0.0,AAPL
2023-01-18 00:00:00-05:00,135.24748690824802,137.01690717262807,133.47805156045354,133.65599060058594,69672800,0.0,0.0,AAPL
2023-01-19 00:00:00-05:00,132.5389610381249,134.6840184578663,132.23252641864943,133.7152862548828,58280400,0.0,0.0,AAPL
2023-01-20 00:00:00-05:00,133.72518688361293,136.43370070636414,132.67737218152695,136.28541564941406,80223600,0.0,0.0,AAPL
2023-01-23 00:00:00-05:00,136.5325341153351,141.67278077878365,136.31506144495467,139.48817443847656,81760300,0.0,0.0,AAPL
2023-01-24 00:00:00-05:00,138.6973598255773,141.51460969317372,138.68748018952127,140.891845703125,66435100,0.0,0.0,AAPL
2023-01-25 00:00:00-05:00,139.2707157250627,140.79300948686725,137.21461987031523,140.2295684814453,65799300,0.0,0.0,AAPL
2023-01-26 00:00:00-05:00,141.52450641893512,142.59209549504305,140.26909865118563,142.30543518066406,54105100,0.0,0.0,AAPL
2023-01-27 00:00:00-05:00,141.51463933928596,145.53785423534342,141.43555698402906,144.25279235839844,70555800,0.0,0.0,AAPL
2023-01-30 00:00:00-05:00,143.29390943800163,143.87712465526727,141.208160111495,141.35643005371094,64015300,0.0,0.0,AAPL
2023-01-31 00:00:00-05:00,141.05991540288298,142.6810659292456,140.64474436260411,142.6316375732422,65874500,0.0,0.0,AAPL
2023-02-01 00:00:00-05:00,142.31531825228282,144.9249754734958,139.69578139358237,143.75852966308594,77663600,0.0,0.0,AAPL
2023-02-02 00:00:00-05:00,147.18864741549214,149.44244157391893,146.46704171932092,149.0865936279297,118339000,0.0,0.0,AAPL
2023-02-03 00:00:00-05:00,146.32864922602454,155.57119313377925,146.13095089780094,152.7242889404297,154357300,0.0,0.0,AAPL
2023-02-06 00:00:00-05:00,150.81647157748358,151.3403789118004,149.04703617157855,149.98611450195312,69858300,0.0,0.0,AAPL
2023-02-07 00:00:00-05:00,148.90862234047623,153.44586367074996,148.90862234047623,152.87252807617188,83322600,0.0,0.0,AAPL
2023-02-08 00:00:00-05:00,152.1114301464605,152.80338188493596,149.4325701004995,150.1739501953125,64120100,0.0,0.0,AAPL
2023-02-09 00:00:00-05:00,152.0125597152097,152.55624141902396,148.6911765868534,149.13600158691406,56007100,0.0,0.0,AAPL
2023-02-10 00:00:00-05:00,147.9677914305051,149.8290111554016,147.73018216274517,149.50230407714844,57450700,0.23,0.0,AAPL
2023-02-13 00:00:00-05:00,149.44290943263957,152.71985991539307,149.41321016170093,152.31396484375,62199000,0.0,0.0,AAPL
2023-02-14 00:00:00-05:00,150.60119133152048,152.23472638587455,149.3537769225568,151.67041015625,61707600,0.0,0.0,AAPL
2023-02-15 00:00:00-05:00,151.58135329250317,153.94749097395436,151.35365383790918,153.77919006347656,65573800,0.0,0.0,AAPL
2023-02-16 00:00:00-05:00,151.97733873436857,154.76919088525318,151.8189476677602,152.17535400390625,68167900,0.0,0.0,AAPL
2023-02-17 00:00:00-05:00,150.8289468385779,151.47245120963535,149.34392280711089,151.02694702148438,59144100,0.0,0.0,AAPL
2023-02-21 00:00:00-05:00,148.7004026088836,149.78942626925934,146.92828058675818,146.99757385253906,58867200,0.0,0.0,AAPL
2023-02-22 00:00:00-05:00,147.383654456277,148.45287338487984,145.6907358158214,147.4232635498047,51011300,0.0,0.0,AAPL
2023-02-23 00:00:00-05:00,148.591484366889,148.83898834448985,145.7699480861059,147.9083709716797,48394200,0.0,0.0,AAPL
2023-02-24 00:00:00-05:00,145.64123957502227,145.720442659753,144.26511807901926,145.2452392578125,55469600,0.0,0.0,AAPL
2023-02-27 00:00:00-05:00,146.23525087875586,147.68066559008122,145.97783708430148,146.44314575195312,44998500,0.0,0.0,AAPL
2023-02-28 00:00:00-05:00,145.58187179487862,147.5916032868755,145.36406704246494,145.9382781982422,50547000,0.0,0.0,AAPL
2023-03-01 00:00:00-05:00,145.3640509605452,145.76005131760687,143.56221459109048,143.85922241210938,55479000,0.0,0.0,AAPL
2023-03-02 00:00:00-05:00,142.93850860687647,145.24524759786468,142.46329007120497,144.45323181152344,52238100,0.0,0.0,AAPL
2023-03-03 00:00:00-05:00,146.56197176838737,149.60132834219667,145.85906882111533,149.52212524414062,70732300,0.0,0.0,AAPL
2023-03-06 00:00:00-05:00,152.25454983701871,154.73949959731118,151.92785785960842,152.29415893554688,87558000,0.0,0.0,AAPL
2023-03-07 00:00:00-05:00,152.16545023619062,152.49215731620518,149.62111707090608,150.08642578125,56182000,0.0,0.0,AAPL
2023-03-08 00:00:00-05:00,151.28433620073233,151.93775035888638,150.31412479121082,151.34373474121094,47204800,0.0,0.0,AAPL
2023-03-09 00:00:00-05:00,152.02685072996366,152.99706215582498,148.73009571987657,149.0865020751953,53833600,0.0,0.0,AAPL
2023-03-10 00:00:00-05:00,148.7103138108838,149.43302127956616,146.1362661024609,147.0173797607422,68572400,0.0,0.0,AAPL
