Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2023-01-03 00:00:00-05:00,238.6766338893005,241.29826533020105,233.099518684118,235.2400360107422,25740000,0.0,0.0,MSFT
2023-01-04 00:00:00-05:00,228.07224672935166,228.65155528390636,221.86674131670614,224.94985961914062,50623400,0.0,0.0,MSFT
2023-01-05 00:00:00-05:00,223.0842692283964,223.42793497169325,217.74281242583197,218.28285217285156,39585600,0.0,0.0,MSFT
2023-01-06 00:00:00-05:00,218.9603464131228,221.67034351319057,215.37647229662053,220.85537719726562,43613600,0.0,0.0,MSFT
2023-01-09 00:00:00-05:00,222.34789130469701,227.05112960740402,222.3086224905755,223.00575256347656,27369800,0.0,0.0,MSFT
2023-01-10 00:00:00-05:00,223.63414061358225,227.11983564696362,223.21193722037137,224.70440673828125,27033900,0.0,0.0,MSFT
2023-01-11 00:00:00-05:00,227.100182955992,231.67577081089505,226.92345084138603,231.49903869628906,28669300,0.0,0.0,MSFT
2023-01-12 00:00:00-05:00,230.99826575626707,235.5542116762938,229.32906420902535,234.18939208984375,27269500,0.0,0.0,MSFT
2023-01-13 00:00:00-05:00,232.70674766587976,235.03381034817815,230.66442504459786,234.89634704589844,21333300,0.0,0.0,MSFT
2023-01-17 00:00:00-05:00,233.65921748599973,236.54596231241507,232.79515373322812,235.99610900878906,29831300,0.0,0.0,MSFT
2023-01-18 00:00:00-05:00,237.19398238340665,237.9893068890098,231.25357474268407,231.53831481933594,30028700,0.0,0.0,MSFT
2023-01-19 00:00:00-05:00,229.5450852501205,231.25357062675482,226.50123560933417,227.7285919189453,28623000,0.0,0.0,MSFT
2023-01-20 00:00:00-05:00,230.60553401218095,236.37902316517145,230.26186823597817,235.86843872070312,35389800,0.0,0.0,MSFT
2023-01-23 00:00:00-05:00,236.7324833169044,240.72874754062073,235.30873805800567,238.1856689453125,31934000,0.0,0.0,MSFT
2023-01-24 00:00:00-05:00,238.10711498113173,239.5308452494921,236.0844342572351,237.6554412841797,40234400,0.0,0.0,MSFT
2023-01-25 00:00:00-05:00,230.23238312463445,238.89261573480215,226.71723314095732,236.2513427734375,66526600,0.0,0.0,MSFT
2023-01-26 00:00:00-05:00,239.23627111970282,243.81185875546876,237.61616688389933,243.50747680664062,33454500,0.0,0.0,MSFT
2023-01-27 00:00:00-05:00,244.4795782533274,245.30435814766528,242.3587028258491,243.66461181640625,26498900,0.0,0.0,MSFT
2023-01-30 00:00:00-05:00,240.08068968374297,241.1509556923859,237.81253779018328,238.3133087158203,25867400,0.0,0.0,MSFT
2023-01-31 00:00:00-05:00,239.03991858279355,243.45840142159702,238.5489760451487,243.32093811035156,26541100,0.0,0.0,MSFT
2023-02-01 00:00:00-05:00,243.507493740727,250.55742124700228,241.02332574913956,248.17144775390625,31259900,0.0,0.0,MSFT
2023-02-02 00:00:00-05:00,254.13146890622428,259.89512874467925,252.58990234951898,259.8067626953125,39940400,0.0,0.0,MSFT
2023-02-03 00:00:00-05:00,254.8384743854471,259.414062675439,252.44267227712933,253.67002868652344,29077300,0.0,0.0,MSFT
